Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g),Meal Time
Red Rice,"Devilled Chicken, Cabbage Mallung, Drumstick Curry, Tropical Salad","Red Rice with Devilled Chicken, Cabbage Mallung, Drumstick Curry, Tropical Salad","Red rice, Chicken,  Chili,  Curry leaves, salt, Onion, Cabbage,  Coconut,  Spices, Drumstick,  Coconut milk, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","160.0, 120.0, 120.0, 200.0, 40.0, 20.0, 0.75, 60.0, 160.0, 20.0, 10.0, 20.0, 5.0, 30.0, 20.0, 30.0","SLA009, SLH006, SLI006, SLK004, SLD060, SLD021, SLD041, SLD058, SLE001, SLB002, SLE041, SLD038",2724.8,66.08,181.312,200.304,53.424,2035.456,200.656,1337.568,6,380.944,926.272,373.296,296.896,3771.2,3146.592,2825.056,2966.464,43.44,137.28,Breakfast/Lunch/Dinner
Red Rice,"Gotu Kola Sambol, Devilled Fish, Green Banana Curry, Capsicum Curry","Red Rice with Gotu Kola Sambol, Devilled Fish, Green Banana Curry, Capsicum Curry","Red rice, Gotu Kola,  Coconut,  Onion, Fish,  Chili,  Curry leaves, salt, Onion, Green banana,  Coconut milk,  Chillies, Capsicum","160.0, 120.0, 120.0, 40.0, 45.0, 45.0, 150.0, 30.0, 15.0, 0.5, 50.0, 150.0, 25.0","SLA009, SLD048, SLI006, SLD060, SLF006, SLK004, SLE005,  SLI005, SLK002, SLF045",2401.6,39.488,168.4,178.416,33.12,451.472,15.92,831.072,9.536,587.024,774.208,412.112,602.304,3128,2395.52,1237.76,3148.896,34.88,130.896,Breakfast/Lunch/Dinner
Red Rice,"Eggplant Curry, Fish Curry, Drumstick Curry, Egg Curry","Red Rice with Eggplant Curry, Fish Curry, Drumstick Curry, Egg Curry","Red rice, Eggplant,  Spices,  Coconut milk, Fish, curry leaves, Drumstick, Egg,  Chillies","160.0, 120.0, 370.0, 159.0, 6.0, 60.0, 6.0, 20.0, 50.0","SLA009, SLD017, SLK004, SLI005, , SLF006, SLB001, SLI006, SLD041, SLH001,  SLI005, SLK002",2865.6,57.52,286.944,161.504,53.824,401.296,17.424,728.896,13.056,242.688,1179.856,357.536,433.056,3108.8,76247.392,15059.536,6110.864,22.096,128.272,Breakfast/Lunch/Dinner
Red Rice,"Bitter Gourd Salad, Pumpkin Leaves Curry, Simmered Fish Roe, Ginger Chicken","Red Rice with Bitter Gourd Salad, Pumpkin Leaves Curry, Simmered Fish Roe, Ginger Chicken","Red rice, Bitter gourd,  Coconut,  Onion, Pumpkin leaves,  Coconut milk,  Chillies, Fish,  Oil,  flour,  egg, Chicken,  Ginger","160.0, 120.0, 120.0, 200.0, 75.0, 30.0, 200.0, 50.0, 20.0, 140.0, 60.0, 20.0, 10.0","SLA009, SLD013, SLI006, SLI026,  SLI005, SLK002, SLF054, SLA018, SLH001, SLH006, SLK012",2404.8,201.264,53.68,275.776,30.208,553.472,33.024,249.232,5.616,342.336,2055.328,592.592,17329.088,4456,13473.76,13330.256,8398.304,6.976,245.12,Breakfast/Lunch/Dinner
Red Rice,"Lotus Root Curry, Fish Patties, Vegetable Balls, Kiri Hodi","Red Rice with Lotus Root Curry, Fish Patties, Vegetable Balls, Kiri Hodi","Red rice, Lotus root,  Coconut milk,  Chillies, Fish,  Flour,  Oil, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Coconut milk","160.0, 120.0, 120.0, 200.0, 75.0, 30.0, 120.0, 60.0, 60.0, 60.0, 100.0, 20.0, 60.0","SLA009, SLB005,  SLI005, SLK002, SLF036,  SLF034,  SLJ002, SLB002,  SLD055,  SLD049,  SLB006,  SLK018, SLI005",1384,67.648,109.712,178.4,51.44,2078.672,10.624,148.192,10.72,209.264,1236.416,341.328,186.512,3721.6,71153.2,7284.192,4857.6,17.728,146.96,Breakfast/Lunch/Dinner
Red Rice,"Beetroot Curry, Fenugreek Curry, Capsicum Curry, Jackfruit Mallum","Red Rice with Beetroot Curry, Fenugreek Curry, Capsicum Curry, Jackfruit Mallum","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Fenugreek,  Chillies, Capsicum, Jackfruit,  Coconut","160.0, 120.0, 146.0, 120.0, 80.0, 15.0, 250.0, 50.0, 25.0, 10.0","SLA009, SLB001, SLI006, SLK004, SLK010,  SLI005, SLK002, SLF045, SLD049, SLI005",3033.6,92.032,276.544,177.808,129.472,114.944,23.936,89.184,12.992,741.744,2103.312,748.656,705.088,4702.4,71581.008,8100.768,8874.24,23.248,132.288,Breakfast/Lunch/Dinner
Red Rice,"Devilled Chicken, Snake Gourd Curry, Cucumber Sambol, Jackfruit Mallum","Red Rice with Devilled Chicken, Snake Gourd Curry, Cucumber Sambol, Jackfruit Mallum","Red rice, Chicken,  Chili,  Curry leaves, salt, Onion, Snake gourd,  Coconut milk,  Spices, Cucumber,  Coconut,  pepper, Jackfruit","160.0, 120.0, 120.0, 200.0, 40.0, 20.0, 0.75, 60.0, 150.0, 50.0, 25.0, 120.0, 30.0","SLA009, SLH006, SLI006, SLK004, SLD060, SLD077, SLD038, SLI005,  SLK018, SLD049",2846.4,72.144,281.024,155.888,57.76,20.16,21.104,555.104,12.032,280.848,1119.328,437.2,130.48,3500.8,71547.744,8496.992,3694.336,15.616,124.72,Breakfast/Lunch/Dinner
Red Rice,"Bean Curry, Cuttlefish Curry, Radish Sambol, Devilled Beef","Red Rice with Bean Curry, Cuttlefish Curry, Radish Sambol, Devilled Beef","Red rice, Beans,  Coconut milk,  Spices, Cuttlefish, Radish,  Coconut,  pepper, Beef,  Oil,  chillies","160.0, 120.0, 210.0, 270.0, 120.0, 50.0, 20.0, 120.0, 30.0, 5.0, 80.0","SLA009, SLD060, SLI006, SLK004, SLF019, SLB007, SLI005, SLK018, SLH016, SLJ002, SLK002",4785.6,112.784,447.264,222.32,102.432,334.944,53.424,794.16,14.928,952.048,1623.472,722.032,334.384,6750.4,78276.832,13964.304,7234.672,14.928,182.512,Breakfast/Lunch/Dinner
Red Rice,"Bathala Curry, Elumas Curry, Okra Curry, Fish Curry","Red Rice with Bathala Curry, Elumas Curry, Okra Curry, Fish Curry","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Goat, Okra,  Chillies, Fish","160.0, 120.0, 143.0, 320.0, 120.0, 15.0, 10.0, 100.0, 25.0","SLA009, SLB010, SLI006, SLK004, SLK009, SLH018, SLD053,  SLI005, SLK002, SLF006, SLB001",2444.8,37.696,167.344,189.456,59.248,2308.704,221.28,514.832,4.544,1354.336,730.192,582.032,209.504,3249.6,1944.064,1128.736,3191.04,17.12,164.416,Breakfast/Lunch/Dinner
Red Rice,"Beetroot Curry, Bathala Curry, Green Pea Curry, Tender Jackfruit Fry","Red Rice with Beetroot Curry, Bathala Curry, Green Pea Curry, Tender Jackfruit Fry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Sweet potato, Green pea,  Chillies, Jackfruit,  Oil","160.0, 120.0, 132.0, 210.0, 110.0, 15.0, 10.0, 100.0, 25.0, 10.0","SLA009, SLB001, SLI006, SLK004, SLB010, SLK009, SLC007,  SLI005, SLK002, SLD049, SLJ002",4347.2,72.976,329.072,263.424,92.544,2320.048,226.512,534,4.4,1424.768,1229.776,768.992,223.552,5192,2484.96,1226.96,4218.672,20.576,235.04,Breakfast/Lunch/Dinner
Red Rice,"Banana Blossom Curry, Green Banana Curry, Pineapple Pickle, Seeni Sambol","Red Rice with Banana Blossom Curry, Green Banana Curry, Pineapple Pickle, Seeni Sambol","Red rice, Banana blossom,  Coconut milk,  Spices, Green banana,  Chillies, Pineapple,  pepper,  salt, Onion,  Sugar,  chillii","160.0, 120.0, 135.0, 80.0, 30.0, 150.0, 50.0, 20.0, 100.0, 10.0, 5.0, 50.0","SLA009, SLE010, SLI006, SLK004, SLE005,  SLI005, SLK002, SLE041,  SLK018, SLK016",2321.6,19.904,166.624,183.104,21.152,85.76,176.464,80.512,1.808,71.584,457.536,167.984,14.544,1788.8,1952.72,1149.44,2489.2,46.752,127.312,Breakfast/Lunch/Dinner
Red Rice,"Brinjal Moju, Prawn Curry, Dry Fish Curry, Shrimp Cutlets","Red Rice with Brinjal Moju, Prawn Curry, Dry Fish Curry, Shrimp Cutlets","Red rice, Eggplant,  Vinegar,  Spices, Prawn,  Coconut milk,  Chillies, Dry fish, Shrimp,  Potatoes,  flour","160.0, 120.0, 120.0, 120.0, 120.0, 110.0, 250.0, 50.0, 25.0, 10.0, 30.0","SLA009, SLD019,  SLI017,  SLK004, SLF043,  SLI005, SLK002, SLF020,  SLK002, SLI015, SLB006, SLA018",1798.4,132.56,11.392,284.304,25.68,205.28,22.624,77.504,8.608,997.36,1571.2,385.616,461.248,3302.4,3797.28,2115.312,3368,14.72,257.648,Breakfast/Lunch/Dinner
Red Rice,"Cabbage Mallung, Bean Curry, Ginger Chicken, Maalu Badun","Red Rice with Cabbage Mallung, Bean Curry, Ginger Chicken, Maalu Badun","Red rice, Cabbage,  Coconut,  Spices, Beans,  Coconut milk, Chicken,  Ginger,  Chillies, Fish,  Oil","160.0, 120.0, 120.0, 170.0, 30.0, 15.0, 80.0, 60.0, 100.0, 25.0, 10.0","SLA009, SLD021, SLI006, SLK004, SLD060, SLH006, SLK012, SLK002, SLF035, SLJ002",4148.8,103.008,343.616,156.8,30.896,124.192,25.6,764.464,5.584,262.752,1339.232,433.648,219.712,3564.8,4243.488,3217.536,4072.544,5.424,133.344,Breakfast/Lunch/Dinner
Red Rice,"Pineapple Curry, Pumpkin Leaves Curry, Garlic curry, Simmered Fish Roe","Red Rice with Pineapple Curry, Pumpkin Leaves Curry, Garlic curry, Simmered Fish Roe","Red rice, Pineapple,  Coconut milk,  Spices, Pumpkin leaves,  Chillies, Garlic,  chillies,  curry leaves , Fish,  Oil,  flour,  egg","160.0, 120.0, 170.0, 200.0, 75.0, 150.0, 50.0, 100.0, 40.0, 10.0, 5.0, 70.0, 30.0","SLA009, SLE041, SLI006, SLK004, SLI026,  SLI005, SLK002, SLK011, SLI005, SLK009, SLF054, SLA018, SLH001",4198.4,192.96,300.496,323.776,85.408,2661.92,395.488,613.12,16.24,1427.264,2236.944,885.84,17318.768,5624,81188.896,17647.888,9743.808,37.616,267.456,Breakfast/Lunch/Dinner
Red Rice,"Pol Sambol, Seer Fish Curry, Cucumber Sambol, Cauliflower Pickle","Red Rice with Pol Sambol, Seer Fish Curry, Cucumber Sambol, Cauliflower Pickle","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Seer fish,  Coconut milk,  Chillies, Cucumber,  Coconut,  pepper, Cauliflower,  Oil","160.0, 120.0, 120.0, 80.0, 20.0, 150.0, 75.0, 30.0, 120.0, 60.0, 10.0, 100.0, 50.0, 20.0","SLA009, SLI005, SLK004, SLK016, SLE027, SLK011, SLF025,  SLI005, SLK002, SLD038,  SLK018, SLD031, SLJ002",4476.8,81.104,436.592,201.456,55.376,193.936,17.984,88.88,10.256,240.72,1521.232,409.472,173.472,4388.8,74508.352,8750.336,6636.896,25.28,150.704,Breakfast/Lunch/Dinner
Red Rice,"Radish Sambol, Polos Mallum, Spicy Crab, Ginger Chicken","Red Rice with Radish Sambol, Polos Mallum, Spicy Crab, Ginger Chicken","Red rice, Radish,  Coconut,  pepper, Jackfruit,  oil, Crab,  Oil,  chillies, Chicken,  Ginger,  Chillies","160.0, 120.0, 135.0, 240.0, 90.0, 150.0, 60.0, 10.0, 140.0, 20.0, 10.0, 50.0","SLA009, SLB007, SLI005, SLK018, SLE024, SLJ002, SLF045, SLK002, SLH006, SLK012",3459.2,108.496,287.504,253.6,106.976,367.264,57.44,458.272,16.112,1300.016,1594,770.416,673.728,7049.6,73034.336,9480.864,6497.552,35.792,187.744,Breakfast/Lunch/Dinner
Red Rice,"Snake Gourd Curry, Kohila Curry, Prawn Curry, Garlic curry","Red Rice with Snake Gourd Curry, Kohila Curry, Prawn Curry, Garlic curry","Red rice, Snake gourd,  Coconut milk,  Spices, Kohila,  Chillies, Prawn, Garlic,  chillies,  curry leaves ","160.0, 120.0, 180.0, 200.0, 75.0, 250.0, 50.0, 25.0, 50.0, 20.0","SLA009, SLD077, SLI006, SLK004, SLB004,  SLI005, SLK002, SLF043, SLK011, SLI005, SLK009",2948.8,77.664,269.152,197.296,83.616,2296.416,215.536,511.008,17.216,1393.408,1364.176,733.888,418.032,4761.6,70945.616,7141.248,4576.304,21.824,163.008,Breakfast/Lunch/Dinner
Red Rice,"Green Gram Curry, Pineapple Curry, Vegetable Cutlets, Fish Curry","Red Rice with Green Gram Curry, Pineapple Curry, Vegetable Cutlets, Fish Curry","Red rice, Green gram,  Coconut milk,  Spices, Pineapple, Carrot,  Potatoes,  Chillies, Fish, curry leaves","160.0, 120.0, 160.0, 400.0, 75.0, 50.0, 20.0, 60.0, 40.0, 20.0","SLA009, SLC006, SLI006, SLK004, SLE041, SLB002,  SLB006,  SLK002, SLF006, SLB001",2182.4,19.232,164.624,153.392,23.296,1995.648,171.744,68.512,0.672,100.864,449.536,142.384,199.824,1360,1294.816,1068.432,1628.608,26.064,125.376,Breakfast/Lunch/Dinner
Red Rice,"Bean Curry, Green Banana Curry, Sesame Seed Sambol, Pumpkin curry","Red Rice with Bean Curry, Green Banana Curry, Sesame Seed Sambol, Pumpkin curry","Red rice, Beans,  Coconut milk,  Spices, Green banana,  Chillies, Sesame seed,  Chili,  Onion, Pumpkin,  chillies, curry leaves","160.0, 120.0, 220.0, 120.0, 120.0, 150.0, 50.0, 20.0, 100.0, 25.0, 60.0, 20.0","SLA009, SLD060, SLI006, SLK004, SLE005,  SLI005, SLK002, SLI023,  SLD060, SLD071, SLI005, SLK009",3772.8,75.808,350.016,240.576,80.768,2347.6,213.296,1128.128,19.888,1283.728,958.336,709.728,107.824,4539.2,71390.976,7134.704,5149.36,48.288,138,Breakfast/Lunch/Dinner
Red Rice,"Parippu, Bathala Curry, Thalapath Fish Curry, Tender Jackfruit Fry","Red Rice with Parippu, Bathala Curry, Thalapath Fish Curry, Tender Jackfruit Fry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Sweet potato, curry leaves, Thalapath fish, Jackfruit,  Oil","160.0, 120.0, 126.75, 230.0, 40.0, 15.0, 30.0, 10.0, 25.0, 10.0","SLA009, SLC001, SLI006, SLK004, SLK019, SLB010, SLK009, SLF006, SLD049, SLJ002",4744,74.912,342.704,328.544,111.6,2282.896,242.352,497.792,8.608,1458.816,1498.032,974.128,161.6,7688,5307.264,3115.536,9458.464,14.096,290.224,Breakfast/Lunch/Dinner
Red Rice,"Cuttlefish Curry, Batu Moju, Sprats Fry, Ginger Chicken","Red Rice with Cuttlefish Curry, Batu Moju, Sprats Fry, Ginger Chicken","Red rice, Cuttlefish,  Coconut milk,  Spices, Eggplant,  garlic, Dried fish,  Oil,  Chillies, Chicken,  Ginger","160.0, 120.0, 120.0, 200.0, 75.0, 30.0, 140.0, 30.0, 30.0, 40.0, 20.0","SLA009, SLF019, SLI006, SLK004, SLD019, SLK011, SLJ002, SLK002, SLH006, SLK012",4286.4,96.928,346.016,189.648,34.352,152.144,17.84,167.888,1.776,163.152,1217.552,345.088,203.008,3472,5037.808,3845.312,4431.472,13.664,156.88,Breakfast/Lunch/Dinner
Red Rice,"Dhal Curry, Potato Curry, Carrot Curry, Seeni Sambol","Red Rice with Dhal Curry, Potato Curry, Carrot Curry, Seeni Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Potato, curry leaves, Turmeric Powder, Carrot, Onion,  Sugar,  chillii","160.0, 120.0, 280.0, 170.0, 80.0, 15.0, 30.0, 15.0, 4.0, 5.0, 50.0, 5.0","SLA009, SLC001, SLI006, SLK004, SLK019, SLB006, SLK009, SKL019, SLB002, , SLK016",3252.8,73.488,182.752,317.216,103.12,4263.936,230.928,491.104,8.928,1412.784,1532.864,955.584,198.288,7881.6,5132.912,3087.632,9621.232,10.048,278.512,Breakfast/Lunch/Dinner
Red Rice,"Chicken Curry, Cuttlefish Curry, Capsicum Curry, Kochchi Sambol","Red Rice with Chicken Curry, Cuttlefish Curry, Capsicum Curry, Kochchi Sambol","Red rice, Chicken,  Coconut milk,  Spices, Cuttlefish, Capsicum,  Chillies, Green chili,  Coconut","160.0, 120.0, 155.0, 310.0, 30.0, 50.0, 100.0, 25.0, 10.0","SLA009, SLH006, SLI006, SLK004, SLF019, SLF045,  SLI005, SLK002, SLI005",2995.2,107.824,285.984,146.864,36.896,104.64,9.488,102.048,13.216,452.288,1503.728,385.632,677.664,3204.8,73349.104,9634.24,5261.232,12.176,123.856,Breakfast/Lunch/Dinner
Red Rice,"Beetroot Curry, Carrot Curry, Bottle Gourd Curry, Cucumber Sambol","Red Rice with Beetroot Curry, Carrot Curry, Bottle Gourd Curry, Cucumber Sambol","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Carrot, Bottle gourd,  Chillies, Cucumber,  Coconut,  pepper","160.0, 120.0, 136.0, 270.0, 80.0, 15.0, 40.0, 100.0, 25.0, 10.0, 60.0","SLA009, SLB001, SLI006, SLK004, SLB002, , SLD015, SLI005, SLK002, SLD038,  SLK018",2640,36.192,267.296,170.384,56.512,2055.776,12.704,95.776,9.536,236.144,919.6,359.152,241.744,3435.2,70455.968,6946.544,4020.88,25.184,130.432,Breakfast/Lunch/Dinner
Red Rice,"Fish Curry, Beef Curry, Garlic curry, Indian Fish Curry","Red Rice with Fish Curry, Beef Curry, Garlic curry, Indian Fish Curry","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Beef,  Chillies, Garlic,  chillies,  curry leaves ","160.0, 130.0, 151.0, 200.0, 80.0, 9.0, 180.0, 50.0, 160.0, 40.0","SLA009, SLF006, SLB001, SLI006, SLK004, SLH016,  SLI005, SLK002, SLK011, SLI005, SLK009, SLF034",3256,120.736,285.168,194.496,80.512,2312.4,209.936,496.448,15.552,1315.36,1750.048,722.256,416.736,5048,78212.24,13535.632,5981.648,27.936,156.304,Breakfast/Lunch/Dinner
Red Rice,"Gotu Kola Sambol, Carrot Curry, Okra Curry, Pumpkin curry","Red Rice with Gotu Kola Sambol, Carrot Curry, Okra Curry, Pumpkin curry","Red rice, Gotu Kola,  Coconut,  Onion, Carrot,  Coconut milk,  Spices, Okra,  Chillies, Pumpkin,  chillies, curry leaves","160.0, 120.0, 120.0, 40.0, 45.0, 65.0, 150.0, 40.0, 100.0, 25.0, 60.0, 20.0","SLA009, SLD048, SLI006, SLD060, SLB002, SLK004, , SLD053,  SLI005, SLK002, SLD071, SLI005, SLK009",2795.2,50.912,270.048,183.328,99.632,4697.568,226.72,1531.744,21.008,1614.656,1107.52,842.016,271.824,5256,71214.416,7114.64,5390.96,24.176,139.728,Breakfast/Lunch/Dinner
Red Rice,"Cuttlefish Curry, Collard Greens Curry, Garlic curry, Sinhala Achcharu","Red Rice with Cuttlefish Curry, Collard Greens Curry, Garlic curry, Sinhala Achcharu","Red rice, Cuttlefish,  Coconut milk,  Spices, Collard greens,  Chillies, Garlic,  chillies,  curry leaves , Carrot,  onion,  green chillies,  Vinegar","160.0, 120.0, 170.0, 200.0, 75.0, 150.0, 50.0, 100.0, 40.0, 10.0, 5.0, 30.0, 35.0","SLA009, SLF019, SLI006, SLK004, SLI024,  SLI005,  SLK002, SLK011, SLI005, SLK002, SLK009, SLB002, SLD060, SLI017",3105.6,86.496,274.304,207.936,90.448,4286.704,218,941.472,15.392,1318.608,1349.936,749.824,300.208,4904,72694.96,8089.28,6013.104,26.944,157.376,Breakfast/Lunch/Dinner
Red Rice,"Seer Fish Curry, potatoe cheese Balls, Coconut Sambol, Kiri Hodi","Red Rice with Seer Fish Curry, potatoe cheese Balls, Coconut Sambol, Kiri Hodi","Red rice, Seer fish,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Coconut,  Chili,  Onion, Coconut milk","160.0, 120.0, 120.0, 200.0, 75.0, 30.0, 90.0, 120.0, 20.0, 100.0, 15.0","SLA009, SLF025,  SLI005, SLK002, SLG002,  SLB006,  SLK018, SLI005,  SLK002, SLD060",1924.8,99.6,159.648,170.928,45.344,508.896,16.368,477.264,12.864,1195.264,2156.224,417.136,2204.576,3243.2,73657.616,8580.192,5673.264,12.944,125.616,Breakfast/Lunch/Dinner
Red Rice,"Polos Curry, Banana Blossom Curry, Murukku, Dhal Vade","Red Rice with Polos Curry, Banana Blossom Curry, Murukku, Dhal Vade","Red rice, Jackfruit,  Coconut milk,  Spices, curry leaves, Banana blossom, flour,  Chillies, Lentils,  chillie,  Oil","160.0, 120.0, 120.75, 120.0, 40.0, 15.0, 20.0, 10.0, 50.0, 20.0, 50.0","SLA009, SLE024, SLI006, SLK004, SLK009, SLE010, SLA08,  SLK002, SLC009, SLK002, SLJ002",4246.4,71.2,327.728,243.872,63.52,2291.792,210.544,489.488,3.936,1239.408,1022.928,561.328,57.744,3545.6,1989.824,1338.32,3249.44,25.632,199.728,Breakfast/Lunch/Dinner
Red Rice,"Parippu, Green Pea Curry, Breadfruit Chips, Pumpkin curry","Red Rice with Parippu, Green Pea Curry, Breadfruit Chips, Pumpkin curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Green pea,  Chillies, Breadfruit,  Oil,  Salt, Pumpkin,  chillies, curry leaves","160.0, 120.0, 150.75, 40.0, 40.0, 15.0, 150.0, 50.0, 20.0, 60.0, 40.0, 60.0, 20.0","SLA009, SLC001, SLI006, SLK004, SLK019, SLC007,  SLI005, SLK002, SLJ002, SLD071, SLI005, SLK009",5515.2,121.296,445.92,391.552,155.36,2420.848,241.376,732.816,21.712,1627.952,2383.744,1335.936,169.696,10446.4,74663.088,9096.592,12404.528,20.4,337.616,Breakfast/Lunch/Dinner
Red Rice,"Drumstick Curry, Carrot curry, Tender Jackfruit Fry, Chickpea Salad","Red Rice with Drumstick Curry, Carrot curry, Tender Jackfruit Fry, Chickpea Salad","Red rice, Drumstick,  Coconut milk,  Spices, Carrot,  chillies, curry leaves, Jackfruit,  Oil, Chickpeas,  Carrot,  Cabbage","160.0, 120.0, 135.0, 200.0, 60.0, 150.0, 60.0, 20.0, 10.0, 90.0, 20.0, 60.0","SLA009, SLD041, SLI006, SLK004, SLB002, SLI005, SLK002, SLK009, SLD049, SLJ002, SLI013, SLD021",4454.4,66.16,432.88,219.232,99.712,4273.92,223.536,1291.872,13.44,1415.488,1058,657.328,222.656,4766.4,70944.448,7129.536,4871.104,32.992,133.952,Breakfast/Lunch/Dinner
Red Rice,"Lotus Root Curry, Tapioca Chips, Kiri Hodi, Ginger Chicken","Red Rice with Lotus Root Curry, Tapioca Chips, Kiri Hodi, Ginger Chicken","Red rice, Lotus root,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt,  chillies, Coconut milk, Chicken,  Ginger","160.0, 120.0, 120.0, 250.0, 75.0, 30.0, 150.0, 60.0, 20.0, 10.0, 60.0","SLA009, SLB005,  SLI005, SLK002, SLB011,  SLJ002,  SLK002, SLI005, SLH006, SLK012",1678.4,74.304,123.584,213.552,59.376,96.096,13.968,213.28,11.344,243.552,1277.376,447.12,152.144,4451.2,72035.984,8685.2,5228.192,18.16,175.52,Breakfast/Lunch/Dinner
Red Rice,"Brinjal Moju, Bitter Leaf Curry, Pumpkin Leaves Curry, Batu Moju","Red Rice with Brinjal Moju, Bitter Leaf Curry, Pumpkin Leaves Curry, Batu Moju","Red rice, Eggplant,  Vinegar,  Spices, Bitter leaves,  Coconut milk,  Chillies, Pumpkin leaves,  garlic","160.0, 145.0, 120.0, 120.0, 120.0, 110.0, 250.0, 50.0, 10.0","SLA009, SLD019,  SLI017,  SLK004, SLD013, SLI005, SLK002, SLI026,  SLI005, SLK011",1358.4,49.728,107.44,196.624,58.208,185.984,14.864,78.32,9.216,188.432,1001.696,363.056,77.056,3443.2,70347.952,6905.776,3704.112,21.92,152.096,Breakfast/Lunch/Dinner
Red Rice,"Sesame Seed Sambol, Fish Cutlets, Tapioca Chips, Murukku","Red Rice with Sesame Seed Sambol, Fish Cutlets, Tapioca Chips, Murukku","Red rice, Sesame seed,  Chili,  Onion, Fish,  Potatoes,  Chillies, Tapioca,  Oil,  Salt,  chillies, flour","160.0, 120.0, 120.0, 200.0, 75.0, 30.0, 100.0, 100.0, 20.0, 100.0, 40.0, 10.0","SLA009, SLI023, SLK002,  SLD060, SLF034,  SLB006,  SLK002, SLB011,  SLJ002, SLA08",1856,76.352,90.32,197.472,19.472,84.128,7.072,42.96,3.472,141.024,817.168,197.168,161.792,1828.8,3909.584,2324.832,2717.792,5.392,148.24,Breakfast/Lunch/Dinner
Red Rice,"Ala Badun, Bottle Gourd Curry, Murukku, Kappa Masala","Red Rice with Ala Badun, Bottle Gourd Curry, Murukku, Kappa Masala","Red rice, Potato,  Oil,  Salt, onion, chilli, Bottle gourd,  Coconut milk,  Chillies, flour, Cassava,  Coconut","160.0, 120.0, 120.0, 160.0, 120.0, 120.0, 150.0, 75.0, 70.0, 100.0, 60.0, 25.0","SLA009, SLB006, SLJ002, SLD060, SLK004, SLD015, SLI005, SLK002, SLA08,  SLK002, SLI014",4364.8,38,427.248,239.984,54.416,89.216,14.784,486.464,12.224,221.744,942.208,447.136,93.76,4011.2,70530.32,6910.256,3796.144,14.16,144.88,Breakfast/Lunch/Dinner
Red Rice,"Fish Ambul Thiyal, Potato Curry, Brinjal Moju, Tender Jackfruit Fry","Red Rice with Fish Ambul Thiyal, Potato Curry, Brinjal Moju, Tender Jackfruit Fry","Red rice, Fish,  Goraka,  Spices, Potato,  Coconut milk, curry leaves, Turmeric Powder, Eggplant,  Vinegar, Jackfruit,  Oil","160.0, 120.0, 120.0, 280.0, 1.5, 30.0, 90.0, 30.0, 10.0, 4.0, 40.0, 30.0","SLA009, SLF006, SLE027, SLK004, SLB006, SLI006, SLK009, SKL019, SLD019,  SLI017,  SLK004, SLD049, SLJ002",3819.2,34.4,327.712,177.344,55.296,2259.888,213.68,497.888,3.536,1237.216,618.368,468.752,53.088,3291.2,2195.584,1211.184,3120.864,11.184,145.552,Breakfast/Lunch/Dinner
Red Rice,"Gotu Kola Sambol, Elumas Curry, Bitter Gourd Curry, Fish Patties","Red Rice with Gotu Kola Sambol, Elumas Curry, Bitter Gourd Curry, Fish Patties","Red rice, Gotu Kola,  Coconut,  Onion, Goat,  Coconut milk,  Spices, curry leaves, Bitter gourd, Fish,  Flour,  Oil","160.0, 120.0, 120.0, 40.0, 45.0, 49.0, 250.0, 60.0, 10.0, 25.0, 10.0, 40.0","SLA009, SLD048, SLI006, SLD060, SLH018, SLK004, SLK009, SLD013, SLF036,  SLF034,  SLJ002",2369.6,65.968,168.384,141.456,58.128,2705.744,211.36,1220.64,7.472,1356.624,904.96,630.24,192.944,3376,2700.944,1333.056,2977.6,3.152,130.416,Breakfast/Lunch/Dinner
