Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Red Rice,"Dhal Curry, Banana Blossom Curry, Cabbage Mallung, Vegetable Balls, Indian Fish Curry","Red Rice with Dhal Curry, Banana Blossom Curry, Cabbage Mallung, Vegetable Balls, Indian Fish Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Banana blossom, Cabbage, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Fish,  chillies","40, 80.0, 60.0, 15.0, 5.0, 20.0, 20.0, 30.0, 50.0, 10.0, 60.0, 10.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLD065, SLD021, SLB002,  SLD055,  SLD049, SLF034, SLK002"
Red Rice,"Banana Blossom Curry, Cabbage Mallung, Leeks Curry, Seeni Sambol, Sprats Fry","Red Rice with Banana Blossom Curry, Cabbage Mallung, Leeks Curry, Seeni Sambol, Sprats Fry","Red rice, Banana blossom,  Coconut milk,  Spices, Cabbage, Leeks,  Coconut milk,  Chillies, Onion,  Sugar, Dried fish,  Oil","40, 20.0, 20.0, 10.0, 20.0, 50.0, 25.0, 25.0, 50.0, 5.0, 40.0, 20.0","SLA009, SLD065, SLI005, SLK006, SLD021, SLD055,  SLI005, SLK002, SLD060, SLI011, SLF019, SLJ002"
Red Rice,"Parippu, Elumas Curry, Potato Curry, Bitter Gourd Salad, Cauliflower Pickle","Red Rice with Parippu, Elumas Curry, Potato Curry, Bitter Gourd Salad, Cauliflower Pickle","Red rice, Dhal,  Coconut milk, Termeric powder, Goat,  Spices, curry leaves, Potato, Turmeric Powder, Bitter gourd,  Onion, Cauliflower,  Oil,  Garlic","40, 10.0, 85.0, 5.0, 50.0, 15.0, 7.0, 20.0, 2.0, 50.0, 10.0, 100.0, 50.0, 20.0","SLA009, SLC009, SLI005, SLK019, SLH018, SLK006, SLK009, SLB006, SKL019, SLD013, SLI006, SLD031, SLJ002, SLK011"
Red Rice,"Bathala Curry, Ulundu Wade, Coconut Sambol, Sinhala Achcharu, Ginger Chicken","Red Rice with Bathala Curry, Ulundu Wade, Coconut Sambol, Sinhala Achcharu, Ginger Chicken","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Urad,  flour,  Oil,  Chili,  Onion, Carrot,  green chillies,  Vinegar, Chicken,  Ginger","40, 50.0, 70.0, 5.0, 3.0, 30.0, 40.0, 20.0, 15.0, 55.0, 30.0, 25.0, 10.0, 50.0, 25.0","SLA009, SLB010, SLI005, SLK006, SLK009, SLI020,  SLA08,  SLJ002,  SLK002, SLD060, SLB002, SLK002, SLI017, SLH006, SLK012"
Red Rice,"Elumas Curry, Cabbage Mallung, Bean Curry, potatoe cheese Balls, Indian Fish Curry","Red Rice with Elumas Curry, Cabbage Mallung, Bean Curry, potatoe cheese Balls, Indian Fish Curry","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Cabbage, Beans, cheese,  Potatoes,  pepper, Fish,  chillies","40, 50.0, 100.0, 40.0, 2.0, 20.0, 30.0, 30.0, 60.0, 10.0, 60.0, 10.0","SLA009, SLH018, SLI005, SLK006, SLK009, SLD021, SLD006, SLG002,  SLB006,  SLK018, SLF034, SLK002"
Red Rice,"Chicken Curry, Cuttlefish Curry, Mango Curry, Mustard Greens Curry, Polos Mallum","Red Rice with Chicken Curry, Cuttlefish Curry, Mango Curry, Mustard Greens Curry, Polos Mallum","Red rice, Chicken,  Coconut milk,  Spices, Cuttlefish, Mango, Mustard greens,  Coconut milk,  Chillies, Jackfruit,  oil","40, 40.0, 90.0, 25.0, 50.0, 50.0, 50.0, 25.0, 10.0, 50.0, 5.0","SLA009, SLH006, SLI005, SLK006, SLK007, SLE030, SLI025,  SLI005,  SLK002, SLE024, SLJ002"
Red Rice,"Thalapath Fish Curry, Dry Fish Curry, Gotu Kola Sambol, Cucumber Sambol, Shrimp Cutlets","Red Rice with Thalapath Fish Curry, Dry Fish Curry, Gotu Kola Sambol, Cucumber Sambol, Shrimp Cutlets","Red rice, Thalapath fish,  Coconut milk,  Spices, Dry fish,  Coconut milk,  Chillies, Gotu Kola,  Onion, Cucumber,  pepper, Shrimp,  Potatoes,  flour","40, 50.0, 70.0, 10.0, 50.0, 25.0, 10.0, 10.0, 15.0, 60.0, 5.0, 30.0, 50.0, 20.0","SLA009, SLF019, SLI005, SLK006, SLF020,  SLI005,  SLK002, SLD048, SLD060, SLD038,  SLK018, SLI015, SLB006, SLA018"
Red Rice,"Beetroot Curry, Spinach Curry, Cucumber Sambol, Pineapple Pickle, Devilled Beef","Red Rice with Beetroot Curry, Spinach Curry, Cucumber Sambol, Pineapple Pickle, Devilled Beef","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Spinach,  Coconut milk, Cucumber,  pepper, Pineapple, Beef,  Oil,  chillies","40, 30.0, 50.0, 35.0, 2.0, 30.0, 40.0, 60.0, 15.0, 50.0, 80.0, 30.0, 5.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLI022,  SLI005, SLD038,  SLK018, SLE041, SLH016, SLJ002, SLK002"
Red Rice,"Potato Curry, Papaya Curry, Cashew Curry, Beef Curry, Murukku","Red Rice with Potato Curry, Papaya Curry, Cashew Curry, Beef Curry, Murukku","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Papaya,  Coconut milk,  Spices, Cashew,  Coconut milk,  Chillies, Beef, flour,  Chillies","40, 20.0, 30.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 60.0, 50.0, 20.0","SLA009, SLB006, SLI005, SLK006, SLK009, SKL019, SLE038, SLI006, SLK004, SLI004,  SLI005, SLK002, SLH016, SLA08,  SLK002"
Red Rice,"Chicken Curry, Elumas Curry, Pineapple Curry, Dry Fish Curry, Gotu Kola Sambol","Red Rice with Chicken Curry, Elumas Curry, Pineapple Curry, Dry Fish Curry, Gotu Kola Sambol","Red rice, Chicken,  Coconut milk,  Spices, Goat, curry leaves, Pineapple, Dry fish,  Coconut milk,  Chillies, Gotu Kola,  Onion","40, 40.0, 70.0, 20.0, 50.0, 2.0, 50.0, 50.0, 25.0, 10.0, 10.0, 15.0","SLA009, SLH006, SLI005, SLK006, SLH018, SLK009, SLE041, SLF020,  SLI005,  SLK002, SLD048, SLD060"
Red Rice,"Sweet Corn Curry, Mango Chutney, Kiri Hodi, Polos Ambula, Ginger Chicken","Red Rice with Sweet Corn Curry, Mango Chutney, Kiri Hodi, Polos Ambula, Ginger Chicken","Red rice, Sweet corn,  Coconut milk,  Chillies, Mango,  Vinegar,  sugar, Coconut milk, Jackfruit,  curry leaves, Chicken,  Ginger","40, 50.0, 25.0, 30.0, 40.0, 10.0, 10.0, 90.0, 80.0, 10.0, 50.0, 25.0","SLA009, SLD037,  SLI005 , SLK002, SLE030, SLI017, SLI011, SLI005, SLD049, SLK009, SLH006, SLK012"
Red Rice,"Green Pea Curry, Egg Curry, Mint Sambol, Jaffna Crab Curry, Kappa Masala","Red Rice with Green Pea Curry, Egg Curry, Mint Sambol, Jaffna Crab Curry, Kappa Masala","Red rice, Green pea,  Coconut milk,  Chillies, Egg, Mint,  pepper, Crab, Cassava,  Coconut","40, 50.0, 105.0, 30.0, 50.0, 60.0, 5.0, 50.0, 60.0, 25.0","SLA009, SLC007,  SLI005, SLK002, SLH001, SLI020, SLK018, SLF045, SLI014, SLI005"
Red Rice,"Cuttlefish Curry, Green Pea Curry, Mustard Greens Curry, Pineapple Pickle, Coconut Sambol","Red Rice with Cuttlefish Curry, Green Pea Curry, Mustard Greens Curry, Pineapple Pickle, Coconut Sambol","Red rice, Cuttlefish,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Mustard greens,  Chillies, Pineapple,  pepper,  Onion","40, 50.0, 75.0, 10.0, 50.0, 50.0, 10.0, 50.0, 25.0, 50.0, 10.0, 20.0","SLA009, SLK007, SLI005, SLK006, SLC007,  SLI005, SLK002, SLI025,  SLK002, SLE041,  SLK018, SLD060"
Red Rice,"Jackfruit Curry, Soya Meat Curry, Pumpkin Leaves Curry, Fish Cutlets, Maalu Badun","Red Rice with Jackfruit Curry, Soya Meat Curry, Pumpkin Leaves Curry, Fish Cutlets, Maalu Badun","Red rice, Jackfruit,  Coconut milk, curry leaves, Soya meat,  Chillies, Pumpkin leaves,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies, Fish,  Oil","40, 15.0, 35.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0, 90.0, 15.0","SLA009, SLD049, SLI005, SLK009, SLK008, SLK004, SLI026,  SLI005, SLK002, SLF034,  SLB006,  SLK002, SLF035, SLJ002"
Red Rice,"Carrot Curry, Chickpea Curry, Dry Fish Curry, Tender Jackfruit Fry, Indian Fish Curry","Red Rice with Carrot Curry, Chickpea Curry, Dry Fish Curry, Tender Jackfruit Fry, Indian Fish Curry","Red rice, Carrot,  Coconut milk,  Spices, Chickpea,  Chillies, Dry fish,  Coconut milk,  Chillies, Jackfruit,  Oil, Fish,  chillies","40, 50.0, 75.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0, 90.0, 20.0, 60.0, 10.0","SLA009, SLB002, SLI005, SLK006, SLI013, SLK004, SLF020,  SLI005,  SLK002, SLD049, SLJ002, SLF034, SLK002"
Red Rice,"Banana Blossom Curry, Carrot Curry, Mustard Greens Curry, Dhal Vade, Kappa Masala","Red Rice with Banana Blossom Curry, Carrot Curry, Mustard Greens Curry, Dhal Vade, Kappa Masala","Red rice, Banana blossom,  Coconut milk,  Spices, Carrot, Mustard greens,  Coconut milk,  Chillies, Lentils,  chillie,  Oil, Cassava","40, 20.0, 55.0, 10.0, 50.0, 50.0, 25.0, 10.0, 50.0, 15.0, 30.0, 60.0","SLA009, SLD065, SLI005, SLK006, SLB002, SLI025,  SLI005,  SLK002, SLC009, SLK002, SLJ002, SLI014"
Red Rice,"Cuttlefish Curry, Thalapath Fish Curry, Bitter Leaf Curry, Tapioca Chips, Indian Fish Curry","Red Rice with Cuttlefish Curry, Thalapath Fish Curry, Bitter Leaf Curry, Tapioca Chips, Indian Fish Curry","Red rice, Cuttlefish,  Coconut milk,  Spices, Thalapath fish, Bitter leaves,  Chillies, Tapioca,  Oil,  Salt, Fish","40, 50.0, 105.0, 20.0, 50.0, 50.0, 20.0, 50.0, 20.0, 10.0, 60.0","SLA009, SLK007, SLI005, SLK006, SLF019, SLD013, SLK002, SLB011,  SLJ002,  SLK002, SLF034"
Red Rice,"Beetroot Curry, Ala Badun, Radish Sambol, Mango Chutney, Polos Ambula","Red Rice with Beetroot Curry, Ala Badun, Radish Sambol, Mango Chutney, Polos Ambula","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Potato,  Oil, onion, Radish,  pepper, Mango,  Vinegar,  sugar, Jackfruit,  chillies","40, 30.0, 80.0, 10.0, 12.0, 40.0, 10.0, 30.0, 60.0, 5.0, 40.0, 10.0, 10.0, 80.0, 10.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLB006, SLJ002, SLD060, SLB007, SLK018, SLE030, SLI017, SLI011, SLD049, SLK002"
Red Rice,"Mango Curry, Kohila Curry, Fish Cutlets, Carrot Sambol, Radish Sambol","Red Rice with Mango Curry, Kohila Curry, Fish Cutlets, Carrot Sambol, Radish Sambol","Red rice, Mango,  Coconut milk,  Spices, Kohila,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies, Carrot,  pepper, Radish,  pepper","40, 50.0, 55.0, 10.0, 50.0, 35.0, 10.0, 30.0, 50.0, 10.0, 50.0, 5.0, 60.0, 5.0","SLA009, SLE030, SLI005, SLK006, SLB004,  SLI005, SLK002, SLF034,  SLB006,  SLK002, SLB002,  SLK018, SLB007, SLK018"
Red Rice,"Chicken Curry, Carrot Curry, Pineapple Curry, Spinach Curry, Jaffna Crab Curry","Red Rice with Chicken Curry, Carrot Curry, Pineapple Curry, Spinach Curry, Jaffna Crab Curry","Red rice, Chicken,  Coconut milk,  Spices, Carrot, Pineapple, Spinach,  Coconut milk, Crab,  Chillies","40, 40.0, 55.0, 50.0, 50.0, 50.0, 30.0, 65.0, 50.0, 10.0","SLA009, SLH006, SLI005, SLK006, SLB002, SLE041, SLI022,  SLI005, SLF045, SLK002"
Red Rice,"Eggplant Curry, Potato Curry, Banana Blossom Curry, Soya Meat Curry, Tapioca Chips","Red Rice with Eggplant Curry, Potato Curry, Banana Blossom Curry, Soya Meat Curry, Tapioca Chips","Red rice, Eggplant,  Spices,  Coconut milk, Potato, curry leaves, Turmeric Powder, Banana blossom, Soya meat,  Chillies, Tapioca,  Oil,  Salt","40, 30.0, 17.0, 75.0, 20.0, 5.0, 2.0, 20.0, 50.0, 10.0, 50.0, 20.0, 10.0","SLA009, SLD019, SLK006, SLI005, SLB006, SLK009, SKL019, SLD065, SLK008, SLK004, SLB011,  SLJ002,  SLK002"
Red Rice,"Papaya Curry, Chickpea Curry, Leeks Curry, Pumpkin Leaves Curry, Egg Curry","Red Rice with Papaya Curry, Chickpea Curry, Leeks Curry, Pumpkin Leaves Curry, Egg Curry","Red rice, Papaya,  Coconut milk,  Spices, Chickpea,  Coconut milk, Leeks,  Coconut milk,  Chillies, Pumpkin leaves, Egg","40, 50.0, 25.0, 20.0, 50.0, 25.0, 50.0, 75.0, 30.0, 50.0, 50.0","SLA009, SLE038, SLI006, SLK004, SLI013, SLI005, SLD055,  SLI005, SLK002, SLI026, SLH001"
Red Rice,"Chicken Curry, Pol Sambol, Cuttlefish Curry, Ash Plantain Curry, Cucumber Sambol","Red Rice with Chicken Curry, Pol Sambol, Cuttlefish Curry, Ash Plantain Curry, Cucumber Sambol","Red rice, Chicken,  Coconut milk,  Spices,  Chili,  Onion, Lime, Garlic, Cuttlefish, Ash plantain,  Chillies, Cucumber,  pepper","40, 40.0, 140.0, 15.0, 5.0, 10.0, 3.0, 3.0, 50.0, 50.0, 10.0, 60.0, 5.0","SLA009, SLH006, SLI005, SLK006, SLK002, SLD060, SLE028, SLK011, SLK007, SLD005, SLK004, SLD038,  SLK018"
Red Rice,"Dhal Curry, Pol Sambol, Beetroot Curry, Cucumber Sambol, Seeni Sambol","Red Rice with Dhal Curry, Pol Sambol, Beetroot Curry, Cucumber Sambol, Seeni Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder,  Chili,  Onion, Lime, Garlic, Beetroot, curry leaves, Cucumber,  pepper,  Sugar","40, 80.0, 110.0, 10.0, 5.0, 10.0, 60.0, 3.0, 3.0, 30.0, 2.0, 60.0, 5.0, 5.0","SLA009, SLC009, SLI005, SLK006, SLK019, SLK002, SLD060, SLE028, SLK011, SLB001, SLK009, SLD038,  SLK018, SLI011"
Red Rice,"Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls","Red Rice with Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls","Red rice, Chicken,  Chili,  Curry leaves, Onion, Green banana,  Coconut milk, Fish,  Flour,  Oil, Crab, cheese,  Potatoes,  pepper","40, 50.0, 25.0, 10.0, 20.0, 50.0, 50.0, 40.0, 30.0, 30.0, 50.0, 30.0, 60.0, 10.0","SLA009, SLH006, SLK002, SLK009, SLD060, SLD065,  SLI005, SLF036,  SLF034,  SLJ002, SLF045, SLG002,  SLB006,  SLK018"
Red Rice,"Snake Gourd Curry, Cashew Curry, Tapioca Chips, Jaffna Crab Curry, Tropical Salad","Red Rice with Snake Gourd Curry, Cashew Curry, Tapioca Chips, Jaffna Crab Curry, Tropical Salad","Red rice, Snake gourd,  Coconut milk,  Spices, Cashew,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt, Crab, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0, 20.0, 10.0, 50.0, 30.0, 20.0, 30.0, 20.0, 30.0","SLA009, SLD077, SLI005, SLK006, SLI004,  SLI005, SLK002, SLB011,  SLJ002,  SLK002, SLF045, SLD058, SLE001, SLB002, SLE041, SLD038"
Red Rice,"Collard Greens Curry, Gotu Kola Sambol, Carrot curry, Chickpea Salad, Indian Fish Curry","Red Rice with Collard Greens Curry, Gotu Kola Sambol, Carrot curry, Chickpea Salad, Indian Fish Curry","Red rice, Collard greens,  Coconut milk,  Chillies, Gotu Kola,  Coconut,  Onion, Carrot,  chillies, curry leaves, Chickpeas,  Cabbage, Fish","40, 50.0, 25.0, 10.0, 10.0, 65.0, 15.0, 80.0, 20.0, 5.0, 60.0, 30.0, 60.0","SLA009, SLI024,  SLI005,  SLK002, SLD048, SLI005, SLD060, SLB002, SLK002, SLK009, SLI013, SLD021, SLF034"
Red Rice,"Jackfruit Curry, Beetroot Curry, Octopus Curry, Prawn Curry, Vegetable Balls","Red Rice with Jackfruit Curry, Beetroot Curry, Octopus Curry, Prawn Curry, Vegetable Balls","Red rice, Jackfruit,  Coconut milk, curry leaves, Beetroot,  Spices, Octopus,  Coconut milk,  Chillies, Prawn, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 15.0, 30.0, 7.0, 30.0, 5.0, 50.0, 50.0, 20.0, 50.0, 30.0, 50.0, 10.0","SLA009, SLD049, SLI005, SLK009, SLB001, SLK006, SLF042,  SLI005, SLK002, SLF043, SLB002,  SLD055,  SLD049"
Red Rice,"Potato Curry, Chickpea Curry, Jaffna Crab Curry, Cucumber Sambol, Polos Ambula","Red Rice with Potato Curry, Chickpea Curry, Jaffna Crab Curry, Cucumber Sambol, Polos Ambula","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Chickpea,  Chillies, Crab,  Coconut milk,  Chillies, Cucumber,  pepper, Jackfruit","40, 20.0, 115.0, 10.0, 15.0, 2.0, 50.0, 10.0, 50.0, 25.0, 20.0, 60.0, 5.0, 80.0","SLA009, SLB006, SLI005, SLK006, SLK009, SKL019, SLI013, SLK004, SLF045,  SLI005, SLK002, SLD038,  SLK018, SLD049"
Red Rice,"Potato Curry, Banana Blossom Curry, Pumpkin Leaves Curry, Ginger Chicken, Jackfruit Mallum","Red Rice with Potato Curry, Banana Blossom Curry, Pumpkin Leaves Curry, Ginger Chicken, Jackfruit Mallum","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Banana blossom, Pumpkin leaves,  Coconut milk,  Chillies, Chicken,  Ginger, Jackfruit","40, 20.0, 70.0, 15.0, 5.0, 2.0, 20.0, 50.0, 25.0, 20.0, 50.0, 25.0, 60.0","SLA009, SLB006, SLI005, SLK006, SLK009, SKL019, SLD065, SLI026,  SLI005, SLK002, SLH006, SLK012, SLD049"
Red Rice,"Green Pea Curry, Dhal Vade, Kiri Hodi, Tropical Salad, Polos Ambula","Red Rice with Green Pea Curry, Dhal Vade, Kiri Hodi, Tropical Salad, Polos Ambula","Red rice, Green pea,  Coconut milk,  Chillies, Lentils,  Oil, Coconut milk, Mango,  Apple,  Carrot,  Pineapple,  Cucumber, Jackfruit,  curry leaves","40, 50.0, 25.0, 35.0, 50.0, 30.0, 90.0, 30.0, 20.0, 30.0, 20.0, 30.0, 80.0, 10.0","SLA009, SLC007,  SLI005, SLK002, SLC009, SLJ002, SLI005, SLD058, SLE001, SLB002, SLE041, SLD038, SLD049, SLK009"
Red Rice,"Fish Curry, Devilled Fish, Cuttlefish Curry, Dhal Vade, Spicy Crab","Red Rice with Fish Curry, Devilled Fish, Cuttlefish Curry, Dhal Vade, Spicy Crab","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Fish,  Chili, Onion, Cuttlefish, Lentils,  Oil, Crab","40, 50.0, 45.0, 13.0, 7.0, 50.0, 30.0, 20.0, 50.0, 50.0, 50.0, 70.0","SLA009, SLF013, SLI005, SLK006, SLK009, SLF006, SLK002, SLD060, SLK007, SLC009, SLJ002, SLF045"
Red Rice,"Bitter Gourd Curry, Snake Gourd Curry, Sweet Corn Curry, Maalu Badun, Jackfruit Mallum","Red Rice with Bitter Gourd Curry, Snake Gourd Curry, Sweet Corn Curry, Maalu Badun, Jackfruit Mallum","Red rice, Bitter gourd,  Coconut milk,  Spices, Snake gourd, Sweet corn,  Coconut milk,  Chillies, Fish,  Oil, Jackfruit","40, 50.0, 80.0, 20.0, 50.0, 50.0, 25.0, 10.0, 90.0, 15.0, 60.0","SLA009, SLD013, SLI005, SLK006, SLD077, SLD037,  SLI005 , SLK002, SLF035, SLJ002, SLD049"
Red Rice,"Carrot Curry, Green Pea Curry, Egg Curry, Beef Curry, Kappa Masala","Red Rice with Carrot Curry, Green Pea Curry, Egg Curry, Beef Curry, Kappa Masala","Red rice, Carrot,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Egg, Beef, Cassava","40, 50.0, 45.0, 5.0, 50.0, 75.0, 30.0, 50.0, 60.0, 60.0","SLA009, SLB002, SLI005, SLK006, SLC007,  SLI005, SLK002, SLH001, SLH016, SLI014"
Red Rice,"Beetroot Curry, Ash Plantain Curry, Ulundu Wade, Gotu Kola Sambol, Cauliflower Pickle","Red Rice with Beetroot Curry, Ash Plantain Curry, Ulundu Wade, Gotu Kola Sambol, Cauliflower Pickle","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Ash plantain,  Chillies, Urad,  flour,  Oil, Gotu Kola,  Onion, Cauliflower,  Oil,  Garlic","40, 30.0, 60.0, 5.0, 2.0, 50.0, 10.0, 30.0, 40.0, 20.0, 10.0, 15.0, 100.0, 50.0, 20.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLD005, SLK004, SLI020,  SLA08,  SLJ002, SLD048, SLD060, SLD031, SLJ002, SLK011"
Red Rice,"Brinjal Moju, Soya Meat Curry, Green Banana Curry, Simmered Fish Roe, Indian Fish Curry","Red Rice with Brinjal Moju, Soya Meat Curry, Green Banana Curry, Simmered Fish Roe, Indian Fish Curry","Red rice, Eggplant,  Vinegar,  Spices, Soya meat,  Coconut milk,  Chillies, Green banana,  Coconut milk,  Chillies, Fish,  Oil,  flour, Fish","40, 30.0, 40.0, 30.0, 50.0, 55.0, 10.0, 50.0, 25.0, 20.0, 70.0, 30.0, 20.0, 60.0","SLA009, SLD019,  SLI017,  SLK006, SLK008, SLI005, SLK004, SLD065,  SLI005, SLK002, SLF054, SLA018, SLH001, SLF034"
Red Rice,"Capsicum Curry, Collard Greens Curry, Fish Cutlets, Kochchi Sambol, Tropical Salad","Red Rice with Capsicum Curry, Collard Greens Curry, Fish Cutlets, Kochchi Sambol, Tropical Salad","Red rice, Capsicum,  Coconut milk,  Chillies, Collard greens,  Chillies, Fish,  Potatoes,  Coconut, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 50.0, 20.0, 50.0, 20.0, 30.0, 50.0, 30.0, 30.0, 20.0, 30.0, 20.0, 30.0","SLA009, SLF045,  SLI005, SLK002, SLI024,  SLK002, SLF034,  SLB006, SLI005, SLD058, SLE001, SLB002, SLE041, SLD038"
Red Rice,"Eggplant Curry, Chicken Curry, Ginger Chicken, Coconut Sambol, Seeni Sambol","Red Rice with Eggplant Curry, Chicken Curry, Ginger Chicken, Coconut Sambol, Seeni Sambol","Red rice, Eggplant,  Spices,  Coconut milk, Chicken,  Ginger,  Chillies,  Chili,  Onion,  Sugar","40, 30.0, 7.0, 70.0, 90.0, 25.0, 15.0, 15.0, 70.0, 5.0","SLA009, SLD019, SLK006, SLI005, SLH006, SLK012, SLK002,  SLK002, SLD060, SLI011"
Red Rice,"Pol Sambol, Ash Plantain Curry, Green Banana Curry, Pineapple Pickle, Devilled Beef","Red Rice with Pol Sambol, Ash Plantain Curry, Green Banana Curry, Pineapple Pickle, Devilled Beef","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Ash plantain,  Chillies, Green banana,  Coconut milk, Pineapple,  pepper, Beef,  Oil","40, 75.0, 20.0, 10.0, 3.0, 3.0, 50.0, 10.0, 50.0, 25.0, 50.0, 10.0, 80.0, 30.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLD005, SLK004, SLD065,  SLI005, SLE041,  SLK018, SLH016, SLJ002"
Red Rice,"Banana Blossom Curry, Carrot Curry, Sweet Corn Curry, Sesame Seed Sambol, Dry Fish Curry","Red Rice with Banana Blossom Curry, Carrot Curry, Sweet Corn Curry, Sesame Seed Sambol, Dry Fish Curry","Red rice, Banana blossom,  Coconut milk,  Spices, Carrot, Sweet corn,  Coconut milk,  Chillies, Sesame seed,  Onion, Dry fish,  Coconut milk,  Chillies","40, 20.0, 30.0, 10.0, 50.0, 50.0, 25.0, 35.0, 50.0, 10.0, 50.0, 25.0, 10.0","SLA009, SLD065, SLI005, SLK006, SLB002, SLD037,  SLI005 , SLK002, SLI023,  SLD060, SLF020,  SLI005,  SLK002"
Red Rice,"Parippu, Bean Curry, Mango Curry, Mango Chutney, Tender Jackfruit Fry","Red Rice with Parippu, Bean Curry, Mango Curry, Mango Chutney, Tender Jackfruit Fry","Red rice, Dhal,  Coconut milk, Termeric powder, Beans,  Spices, Mango,  Vinegar,  sugar, Jackfruit,  Oil","40, 10.0, 75.0, 5.0, 30.0, 40.0, 90.0, 10.0, 10.0, 90.0, 20.0","SLA009, SLC009, SLI005, SLK019, SLD006, SLK006, SLE030, SLI017, SLI011, SLD049, SLJ002"
Red Rice,"Beetroot Curry, Brinjal Moju, Leeks Curry, Bitter Leaf Curry, Vegetable Cutlets","Red Rice with Beetroot Curry, Brinjal Moju, Leeks Curry, Bitter Leaf Curry, Vegetable Cutlets","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Eggplant,  Vinegar,  Spices, Leeks,  Coconut milk,  Chillies, Bitter leaves, Carrot,  Potatoes,  Chillies","40, 30.0, 45.0, 5.0, 2.0, 30.0, 40.0, 30.0, 50.0, 25.0, 20.0, 50.0, 30.0, 40.0, 10.0","SLA009, SLB001, SLI005, SLK006, SLK009, SLD019,  SLI017,  SLK006, SLD055,  SLI005, SLK002, SLD013, SLB002,  SLB006,  SLK002"
Red Rice,"Pol Sambol, Spinach Curry, Cashew Curry, Pineapple Pickle, Batu Moju","Red Rice with Pol Sambol, Spinach Curry, Cashew Curry, Pineapple Pickle, Batu Moju","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Spinach,  Coconut milk,  Spices, Cashew, Pineapple,  pepper, Eggplant","40, 50.0, 15.0, 10.0, 3.0, 18.0, 30.0, 65.0, 30.0, 50.0, 50.0, 10.0, 70.0","SLA009, SLI005, SLK002, SLD060, SLE028, SLK011, SLI022,  SLI005, SLK006, SLI004, SLE041,  SLK018, SLD019"
Red Rice,"Chicken Curry, Beetroot Curry, Carrot Curry, Bitter Leaf Curry, Seer Fish Curry","Red Rice with Chicken Curry, Beetroot Curry, Carrot Curry, Bitter Leaf Curry, Seer Fish Curry","Red rice, Chicken,  Coconut milk,  Spices, Beetroot, curry leaves, Carrot, Bitter leaves,  Chillies, Seer fish,  Coconut milk","40, 40.0, 75.0, 15.0, 30.0, 2.0, 50.0, 50.0, 20.0, 50.0, 25.0","SLA009, SLH006, SLI005, SLK006, SLB001, SLK009, SLB002, SLD013, SLK002, SLF025,  SLI005"
Red Rice,"Jackfruit Curry, Pineapple Curry, Bitter Leaf Curry, Ulundu Wade, Jackfruit Mallum","Red Rice with Jackfruit Curry, Pineapple Curry, Bitter Leaf Curry, Ulundu Wade, Jackfruit Mallum","Red rice, Jackfruit,  Coconut milk, curry leaves, Pineapple,  Spices, Bitter leaves,  Chillies, Urad,  flour,  Oil","40, 75.0, 90.0, 5.0, 50.0, 10.0, 50.0, 10.0, 30.0, 40.0, 20.0","SLA009, SLD049, SLI005, SLK009, SLE041, SLK006, SLD013, SLK002, SLI020,  SLA08,  SLJ002"
